# Сложность Легко
## Сложность Легко, Симметрия Без симметрии
3 0 1 406005790000010040000402008080000000600057100270000639003000560500086900000090010 426835791358719246917462358189623475634957182275148639893271564541386927762594813 8cb3c38b
3 0 1 000070009600030040007080500000061805060200001510300000000000490103649050490020008 341576289658932147927184563739461825864257931512398674275813496183649752496725318 c2cc6245
3 0 1 207600504860074000090030000400006290900040030076920405000008107005000000018005000 237689514861574923594132678483756291952841736176923485349268157625317849718495362 b08bd16b
3 0 1 000320001000000204352610000073980000004760005920040000000001807400098000510206000 849327561761859234352614789673985412184762395925143678296431857437598126518276943 326f998e
3 0 1 080020000000364008004709103405030016016000800000000005841090600007400200200001300 783125469192364578564789123475832916916547832328916745841293657637458291259671384 8fe28da1
3 0 1 103200000002003007050879000605080200000030890000005006700000650001008002069450071 173246589982513467456879123695187234217634895348925716724391658531768942869452371 45abb62b
3 0 1 000283700000700060504006823200490000803000200000000074000030490002000500790850030 619283745328745961574916823267491358843567219951328674185632497432179586796854132 ce1fdd2c
3 0 1 612800090008004030090500000000041059025009008000205000300000000000060901169000873 612873594578924136493516782836741259725639418941285367384197625257368941169452873 86e626ee
3 0 1 640300001100000056320000070000047500090206017086195000802000640900000005007600090 645378921178924356329561478231847569594236817786195234812759643963412785457683192 9d36f497
3 0 1 002000080500107920007000056003400069000390270100000000075801340000043600060000008 412956783536187924897234156753412869648395271129678435975861342281543697364729518 392b496
3 0 1 000040680400087000090000104010009000000018790000406008100004073200300546374000900 521943687436187259798652134812739465643518792957426318165294873289371546374865921 47479b0f
3 0 1 000804700000700000605009030280400560400003000506010300000600489001000023000002170 129834756834756912675129834283497561417563298596218347352671489741985623968342175 556f0894
3 0 1 038000106000306080605701000206008013000600092043002000020900001000004000060000075 738249156412356789695781234276498513581637492943512867827965341359174628164823975 fc339578
3 0 1 030517002001000000090060000000800625000306089260900010010040000304090007700032060 436517892571289346892463571943871625157326489268954713619745238324698157785132964 c3d6b455
3 0 1 008900000065000800300008670040006198690001700070200500907000002000000450200713000 418967235765132849329458671542376198693581724871294563987645312136829457254713986 faf7ed95
3 0 1 000408013000000004340001508200196000960005230071000009000000002400583107007002000 752468913618359724349721568283196475964875231571234689895617342426583197137942856 ae7e3db
3 0 1 400030260068109000239000080090057000000041002524000007610000005803010940000006003 451738269768129354239465781196257438387641592524983617612394875873512946945876123 aafaa271
3 0 1 003600002620000840900050007000000090100362000304007120061025080000016400005480000 543678912627139845918254637276541398189362574354897126461925783832716459795483261 7627f815
3 0 1 010000000809100406005080123004000307000001000957200010090010000600942078700600000 213564789879123456465789123124895367386471295957236814598317642631942578742658931 608cab1c
3 0 1 000090500709061000006080904000030000014009002300100045643005200000012006020800079 481293567759461823236587914562734198814659732397128645643975281978312456125846379 28b00232
3 0 1 005008602002639000000000070087000034000007000900560008420850007030000009768100050 345718692172639845896245371687921534254387916913564728429853167531476289768192453 41867637
3 0 1 100004500320060708095000000000790300010003000537600001000916003800000602900002050 178234569324569718695187234486791325219453876537628941752916483841375692963842157 a3d75e64
3 0 1 032000600970003000501792000006930000000020700008000491007209006000641007000000018 832415679974863125561792834716934582495128763328576491157289346283641957649357218 ccb0b88c
3 0 1 809001000030600000000090000240300500790100040050046200001000057060705400074830600 829571364437628195615493782246387519793152846158946273381264957962715438574839621 b9767d31
3 0 1 040007800000139006020600500004203759000000403037490000070000010903000024605000370 346527891758139246129684537864213759291875463537496182472368915983751624615942378 e165a6d8
3 0 1 205000000010200603890300700301000000028046300600100000000020036750090480900008007 235769814417285693896314725341872569528946371679153248184527936753691482962438157 6f6c604a
3 0 1 800090240010507089000000170500000721700003000020045030004000500060001000359000008 837196245412537689695824173543968721786213954921745836174389562268451397359672418 f4360a81
3 0 1 540030001000092300600040520001000000804316002050204000420000009086400000000925400 542638791718592364693147528261759843874316952359284617425863179986471235137925486 cd45f2bf
3 0 1 006037009004500070070600030000805002007002016000013450000090020500074000001250000 126437589384529671975681234413865792857942316269713458748396125592174863631258947 acf4df98
3 0 1 365008000002009360910600400000705000004080607000260000200000000587340090000820100 365478912742159368918632475623715849154983627879264531231596784587341296496827153 70039d29
3 0 1 428536700000019403000000060100050000352007010000300000075090080000645000000200359 428536791567819423931724568146952837352487916789361245275193684893645172614278359 71ee1655
3 0 1 065007004809034006104000000000000509080003060003001000046000097050908640000040025 365287914879134256124659378417862539582493761693571482246315897751928643938746125 a79e63a8
3 0 1 005806001080007056790300040007000604402000008000460500648000005329580000000094000 235846791184927356796315842957138624462759138813462579648273915329581467571694283 f1f7ed94
3 0 1 001207093267000045000001600008000060000630000000900010036000020950140000100726500 541267893267389145893451672378512964419638257625974318736895421952143786184726539 6b6c9acc
3 0 1 000000000007049000090501030785006042931204060002350008400700050070030806000008090 514823679327649581896571234785916342931284765642357918468792153179435826253168497 6720558d
3 0 1 007026095500700000008014060600001000000800609230000001801060074090007050070059230 147326895563798412928514367684971523715832649239645781851263974392487156476159238 f8acdccb
3 0 1 000090006407010009800600102000160700000405000305070000684320000509080001020056000 152893476467512389893647152248169735976435218315278964684321597539784621721956843 1c7924a7
3 0 1 010000600020381459000706003201830000000009100650400080035620090900005000080000040 513294678726381459894756213241837965378569124659412387435628791967145832182973546 9579a36e
3 0 1 046000070100067009800005002628051937015000060009000025302000001070000050000039000 246198573153267489897345612628451937715923864439876125362584791974612358581739246 efe2ff
3 0 1 068200090027408000004036000050109630000000201000600500000050910010900000045312070 568271394327498165194536728452189637639745281781623549276854913813967452945312876 974ecd6d
3 0 1 000008279200030180890000006000000060067152000029300000680900005030000001000270630 153648279276539184894721356318497562467152893529386417682913745735864921941275638 d5e0006e
3 0 1 000800403264000800000402007089000700730000012000075040807100050100056009050200100 571869423264537891398412567489621735735948612612375948827194356143756289956283174 68c9ae36
3 0 1 000580700000003010000012435008000000041008050320604078012075000003806000609300000 134589762257463819896712435968157324741238956325694178412975683573846291689321547 64492529
3 0 1 010740000048003002006805000321400906000380005000091400000000230000010050960030040 213749568548163792796825314321457986479386125685291473154678239832914657967532841 dea1a155
3 0 1 000026001000003007706049080800904510010000000002360000050000793031507600000000050 385726941194853267726149385863974512917285436542361879658412793431597628279638154 684ac67a
3 0 1 037800900058169004000000206070000000405308009000040370040003500006090400700005028 637824951258169734914537286371956842425378169869241375142683597586792413793415628 19ccd03
3 0 1 140000300600000040003504060560200009309040600000098400000301506710000023000820010 147962358652783941893514267564237189389145672271698435428371596716459823935826714 fe5f8304
3 0 1 000000703490308120050029600001002030600000057009000461980005004000000500200004980 812456793496378125753129648571642839648931257329587461987265314164893572235714986 a2cf9519
3 0 1 010730000000092034030040610000409006390250008045001000074600980002504000100000020 418736592657192834239845617721489356396257148845361279574623981982514763163978425 6ffda22e
3 0 1 124800006000000000005230089000903407000047091900081060562708003000050700000000000 124879536389165274675234189816923457253647891947581362562718943491356728738492615 d81ca076
3 0 1 083000007060010000000600020070864010006000000201050460000400280400032956020000730 183245697762319845594678123975864312846123579231957468357496281418732956629581734 4b9547a6
3 0 1 089000560000709030403001000800460019024900000690037000030000100000095470502000980 789324561216759834453681792875462319324918657691537248937846125168295473542173986 c7bff150
3 0 1 400210000000009583600000000012035090003700006907000200070906000206007041005080060 458213679721469583639578124812635497543792816967841235174926358286357941395184762 4caa4c61
3 0 1 800001007005060380037000000700040035060170890520380041000400000000508204002090070 896231457215764389437859126781942635364175892529386741658427913973518264142693578 2d8fb1c7
3 0 1 608000045000008079004051000037000051000900200000140030460000020300820710000003500 618792345523468179794351682937286451145937268286145937461579823359824716872613594 974e46bf
3 0 1 130540809500009100008006045000003200860007000000010038000600074000000912091050000 137542869546789123928136745415863297863927451279415638382691574654378912791254386 fabdfb52
3 0 1 200007600038609007090000200600000028000700000900042370000000010070105034100004702 214357689538629147796418253647931528325786491981542376469273815872165934153894762 2f2e9a32
3 0 1 300076000000400070672100059000200395000519804900060000507000020200000008001020500 345976281189452673672138459416287395723519864958364712537841926264795138891623547 7aa60721
3 0 1 007069345043000000005030000136200004020005067000090000000048600000672003900150070 217869345643521789895734126136287594429315867758496231371948652584672913962153478 3225b308
3 0 1 807000023000004006090031470428050390000020805006000001030040000000000709100609500 847965123213784956695231478428156397971423865356897241739548612564312789182679534 6040f76a
3 0 1 610000040020009700090080230000702000200895100500400300807050003000008007100640900 618273549324569781795184236461732895273895164589416372847951623956328417132647958 bf5644eb
3 0 1 800003900000100830062809007780300009000200005004098000410000090008000302600005470 841573926975126834362849157786351249139264785254798613417632598598417362623985471 caae09f4
3 0 1 000000094000200700500000002830005000000321000129067040000090010002500008016078520 273156894981234756564789132837945261645321987129867345758692413492513678316478529 19d78661
3 0 1 800501000002060000409008107036840002080900053090070400000600300070004905001000846 867591234312467589459238167136845792784912653295376418548629371673184925921753846 26fa0508
3 0 1 185000000243000709000080040950000200720060301004512090070000002000639000009020000 185497623243156789697283145951378264728964351364512897576841932412639578839725416 4d3e3901
3 0 1 810000000002048307400006000000000000569024008700915402000301080001400000007690000 813579246692148357475236891124863975569724138738915462246351789951487623387692514 b02d2492
3 0 1 002007080010050009950301004001000000000630000340902008460000835185700000200006400 632497581714258369958361274521874693879635142346912758467129835185743926293586417 625f5712
3 0 1 040700003100390840000004671000000306038000000907601000200409000089000250000085009 546718923172396845893524671421857396638942517957631482265479138789163254314285769 c03e73f7
3 0 1 305090070070080000096100300028370400000650000000000587403009050002700068960000004 315496872274583619896127345528371496749658123631942587483269751152734968967815234 eecb5210
3 0 1 000002080000093100002100500000080095000725000700041300308200007007609208601037000 179562483856493172432178569214386795963725841785941326398254617547619238621837954 dc2dda6
3 0 1 007300900261700300800000500030007000470003050082010070900430000020070800750692000 547386912261759348893124567135247689479863251682915473916438725324571896758692134 f530f462
3 0 1 000000803375608020000000000007300241100000085430581007210906500506700400000003000 641275893375698124928134756857369241169427385432581967213946578586712439794853612 6a7635b8
3 0 1 250600130000072059004005700001000040040250000305190070700000903003006000409000028 257689134138472659694315782971863245846257391325194876712548963583926417469731528 4421b428
3 0 1 400100006306005000000008340104502008790400500000000092600003720851600000000000061 487139256326745189915268347134592678792486513568371492649813725851627934273954861 171011f8
3 0 1 200638470030000200896000000002350080000027394040000000000410005600209001023006000 215638479437195268896742513972354186561827394348961752789413625654279831123586947 cad61aa8
3 0 1 508740000027890000000000008010900000039051026700206009275000400001509807000000003 568743912127895634493612578612987345839451726754236189275368491341529867986174253 53393f0b
3 0 1 000000024005000030007023510600700082040000601901040007010930005378000009000010040 136578924425169738897423516653791482742385691981642357214936875378254169569817243 48d9385
3 0 1 063700100070009350014003200001804000040000090000605010000006500207900600400370080 563728149872149356914563278321894765645217893798635412139486527287951634456372981 f3b97fab
3 0 1 010000430000871500090035002342617085700008000000020000900003040000500800001090200 517269438234871569896435712342617985769358124158924376925183647673542891481796253 5656dae8
3 0 1 600030001980100570020009300300000007090400000040301056000002730107600205802000000 674235891983164572521879364315986427296457183748321956469512738137698245852743619 53243321
3 0 1 071896000600000089098005000005008046000410750020000300006000503009530671000000020 471896235652173489398245167715328946863419752924657318146782593289534671537961824 bd5907f8
3 0 1 010000020030010070028004006790000805600000314040060000060008702004003000005021040 417856923536219478928374156791432865652987314843165297169548732274693581385721649 bdb67e3d
3 0 1 024038690000004300000615000000400000075060002600300015100000570050000240007026039 524738691861294357793615824218457963375961482649382715132849576956173248487526139 e2c6c0f4
3 0 1 060000080041007090908000050070480900003000800600302000094630700000090503005014020 367549281541827396928163457172486935453971862689352174294635718716298543835714629 ff6f117b
3 0 1 710080240820000000000207000005890400007400523140003806300000080070060900000005634 713689245824531769569247318635892471987416523142753896356924187471368952298175634 da56aa8b
3 0 1 600207000580000070000580001700005003003006580000030026000000600341602890826900700 619247358584361279237589461762895143493126587158734926975418632341672895826953714 97bcdd0d
3 0 1 510000803020000000700003041030400000900000715108270000001000000070502008000610294 514796823823145679796823541637451982942368715158279436261984357479532168385617294 cbbf4559
3 0 1 010000000023000146500069200038004097000937602060050004007080003000403000000006850 816342975923875146574169238238614597451937682769258314697581423185423769342796851 b642e17a
3 0 1 070000020003561780006700000010900007024100090000008601702305000050002300001007050 175839426243561789896724513518946237624173895937258641782395164459612378361487952 427ba9bf
3 0 1 000060002080000300203001706000027130710000294300094000000000000960710548007658000 179365482586472319243981756694827135718536294325194867851249673962713548437658921 5a9c8fd7
3 0 1 604500000753200604800146307020000080400090020030000700049000000260010030000800009 614573892753289614892146357127435986486791523935628741549362178268917435371854269 bdb56c9a
3 0 1 005000090641002003007000042050824310000019000124003859009030005000980000003046000 235468791641792583897351642956824317378519426124673859489137265762985134513246978 26f1e2ac
3 0 1 410800000005140080000000061500760900031902600060000030900000100003014200084000005 416897523325146789897235461548763912731982654269451837952378146673514298184629375 4cc6ed9c
3 0 1 000600009080500670706800230000200000400100020510070064840012000000080042070005100 125637489384529671796841235967254813438196527512378964849712356651983742273465198 2f9b7a4a
3 0 1 002000137000507080097000040900010000000380021008009050204000306006401000000760500 452896137631547289897123645943215768765384921128679453214958376576431892389762514 4f1bf373
3 0 1 020300800400678910890010060008507690000400200200083450080004030570002000000030000 126349875435678912897215364348527691759461283261983457682154739573892146914736528 b36b51b8
3 0 1 601038000020657000800000000032700040000200007700080003975020000218400630000001020 651938472423657891897142356132769548584213967769584213975326184218475639346891725 6a078dd2
3 0 1 008600004203400100000305700006001090000003410709004503000040050902106000500007000 158672934273489165694315782436521897825793416719864523367948251942156378581237649 cd0b1dd5
3 0 1 700503001008000045000426000010030500059060080000090000000000814100900002406018007 742583691368179245591426738617834529259761483834295176973652814185947362426318957 c6f222c
3 0 1 056890000104000080007000350560009400003208905000345000000470000302000604080000070 256893741134657289897124356568719423743268915921345867619472538372581694485936172 3797eecd
3 0 1 005000100210350080000028050400010032908643005000790000007000200050206000302009000 785964123214357689693128457476815932928643715531792864847531296159276348362489571 779fb662
3 0 1 706032045010000002039104068000760020020810037900200000001006000000400000000300804 786932145415678392239154768158763429624819537973245681841526973397481256562397814 fa666a26
3 0 1 000300000020000591090000683410720000700500060000100405000600900068014000000083206 856391724324867591197452683415726839739548162682139475243675918968214357571983246 63ebb884
3 0 1 702409000009030500040068070000004005274950100006070000800005000307196000000007602 752419863689732541143568279918624735274953186536871924861245397327196458495387612 dfcc1ab5
3 0 1 007060023400030090000004008050040002201000700900612000005090006800100000026805049 587961423462738591193254678658347912231589764974612835715493286849126357326875149 33edfc50
3 0 1 063000024002400053070201006001000009045920301000000070089007000020094010000102030 863579124912486753574231896631745289745928361298613475189357642326894517457162938 584e09d4
3 0 1 075200000003650040200000000520060300004090180960384700000005602100400008000870000 675249813813657249249138567528761394734592186961384725487915632156423978392876451 a490418c
3 0 1 700000120051002300009300500000096000000071032900500406070900000093060801800000605 738659124651742389249318567312496758465871932987523416176985243593264871824137695 ad69f862
3 0 1 000750004004601080020308510001205000060407100400900007570000901003000060008002000 816759234354621789927348516731265498269487153485913627572836941193574862648192375 73d3d2a1
3 0 1 500400800000009270000280056605030000029000000170600002000004760051070900006900308 532467891468159273917283456685732149329541687174698532293814765851376924746925318 c6370a44
3 0 1 000090180010045000807000005030900000150060027709108306960504070000000800000017603 345796182612845739897321465436972518158463927729158346963584271271639854584217693 aaed6c0a
3 0 1 004003000000000060000250070700008000001600900369425100070300000206004090080109520 624793851537841269198256374742918635851637942369425187975362418216584793483179526 70214ed8
3 0 1 000900000814305090005020000400007010580004000000830040950108007070009153000000968 326981574814375692795426381432597816587614239169832745953168427678249153241753968 fbe924a
3 0 1 009000081000090007400700302760510000000802900098003100002050000380401700500080003 679234581823195647451768392764519238135872964298643175942357816386421759517986423 85abdf40
3 0 1 100002005302000000509040020000000000680100032090000758807406000905001860000289001 178692345342517689569843127753928416684175932291364758817456293925731864436289571 9c5fdeeb
3 0 1 020004000007106920900200800090073000504008601006400390073080100019000008008760000 321894567847156923965237814192673485534928671786415392273589146619342758458761239 6f95250d
3 0 1 370000200000006780008100405000985002029000306000000070031008600500700010200031000 375894261412356789698172435763985142829417356154263978931548627546729813287631594 bc769091
3 0 1 030006000000100580198200030600050040905000270200700060000000058750360094000004020 537486912426139587198275436671852349985643271243791865314927658752368194869514723 e426c056
3 0 1 326400800000109020100000007000000065030600082040010009975200000000071004001000076 326457891754189623198362547819723465537694182642518739975246318263871954481935276 f8448afb
3 0 1 020000006300000090009803047450020008002000000030106000184600925000004003063005014 827491536346572891519863247451729368672348159938156472184637925795214683263985714 daaf139f
3 0 1 000897410240000700000100050000410000760005100000673900020060000000034098084000600 635897412241356789897142356352419867769285134418673925923768541176534298584921673 66b6f34e
3 0 1 507006810000080000004000020048070160003001270010800540000030000080420750460000300 537296814126784935894315627948572163653941278712863549275638491381429756469157382 c198b55a
3 0 1 008060070346500800007100004000040000460000050809007001004706930010080207900050100 128364579346579812597128364731245698462891753859637421284716935615983247973452186 23ddd70c
3 0 1 000600002026095371700023000070000094004070580600000000857430000000700005042580030 318647952426895371795123468571368294234971586689254713857436129963712845142589637 edb06f19
3 0 1 609034020000001000350796100400985706000040200980000040000000000074629850006010000 619834527748251639352796184423985716561347298987162345235478961174629853896513472 8350d61f
3 0 1 006901000810300000000000004740600003000000086050730000100050942509260100074000508 436971825815342679927586314748619253391425786652738491163857942589264137274193568 48b98d29
3 0 1 005810300000963000002000061030600500000300010480050000014000007927080605063700084 645812379178963452392475861231697548759348216486251793814536927927184635563729184 6e78b765
3 0 1 300700002000045079090010000010009720607000980009000050000008100540007000900201034 354796812182345679796812345415689723637524981829173456263458197541937268978261534 661426d1
3 0 1 073481500900200000000760000000690700020008400100000300346100080005000006708906004 673481592981235647452769813834692751527318469169574328346127985295843176718956234 50d11957
3 0 1 025869007360170002000004001700940000000300200008510006080000600071023408050000000 125869347364175892897234561736942185519386274248517936483751629971623458652498713 79bf89f
3 0 1 046000201852000000007080046230740100060008004500000067020500630003000000080001900 346975281852614793197283546238746159769158324514329867421597638973862415685431972 1578715c
3 0 1 000003008365040002804207000000806950003020000080009070000581007000690500002030600 217953468365148792894267135421876953973425816586319274649581327738692541152734689 f4d7b36f
3 0 1 000047659045609020700020034000200001000006900009080000370002406020710300008000007 283147659145639728796825134537294861812576943469381572371952486624718395958463217 664bed8b
3 0 1 400600005000020047100500800200058016018200300000300000942000000300097208000030600 437681925856923147129574863293758416518246379674319582942865731361497258785132694 47e55ca0
3 0 1 741069200800503000003100600000200050027005006000400710350020001400900820000008040 741869235862573194593142678684217359127395486935486712358724961476951823219638547 733cf43
3 0 1 020000509000049020001008400008200034037006852006400010000000005060304290700900000 624731589873549126591628473918257634437196852256483917349812765165374298782965341 bc0cae4b
3 0 1 000000340007000092052804607800379000070000000200005170948002000000400001001986004 189267345467531892352894617814379256675128439293645178948712563726453981531986724 727e4724
3 0 1 400300001068900300200008009510090070680400000000002800040001007300500000197680050 459326781768915324231748569512893476683457912974162835845231697326579148197684253 ae0f71e3
3 0 1 004060000673802400002040356200003040100000029000726800020001000700600005060005100 514369782673852491892147356286913547137584629459726813325471968741698235968235174 d02cf686
3 0 1 705000000400718590020040000300001705508060010604000000030002007900800251000070300 785629134463718592129345678392481765578263419614597823836152947947836251251974386 a9f160eb
3 0 1 006000000180609000000508000003000904020003008409005610060490035000056097390800200 536124789187639452942578361853761924621943578479285613768492135214356897395817246 90572700
3 0 1 050009800003018009100062000007024060021835000089100000064000030800000401000450000 756349812243518679198762345537924168621835794489176253964281537875693421312457986 a7680d
3 0 1 000000009085697120030400050000030004500714030390000000750002300600050790902000045 167523489485697123239481657871239564526714938394865271758942316643158792912376845 f5226b1e
3 0 1 000050091010200005590006300000090740009000002040107900000803170400900800680501009 263758491714239685598416327126395748379684512845127963952863174431972856687541239 7be5e074
3 0 1 018900004006172089090000000050490000004007930000018060080540090069800507000000010 318965724546172389792384156651493872824657931973218465187546293269831547435729618 c82e8796
3 0 1 500096308007010506030580091000700035240001000000040080000072000800100700020058000 512496378987213546436587291168729435245831967379645182691372854853164729724958613 20a2f4b
3 0 1 000060780080000030093820005352407000060005400000089003008056040030070052100902300 241563789586791234793824615352417896869235471417689523928356147634178952175942368 6ddfe7c3
3 0 1 005700004003040007060203500300001008002894100090350740000016030030508000040000600 215769384983145267467283591354671928672894153891352746729416835136528479548937612 a5e32c84
3 0 1 000020040003000005059306287000160000046089030000005760000000000900401852100000470 618527349723894615459316287875163924246789531391245768584672193967431852132958476 cb83db2a
3 0 1 720039000015800639000001028100008000809300010042000000000005162900762003004000005 728639451415827639693541728136278594879354216542916387387495162951762843264183975 1af3b6e7
3 0 1 760050000453000012000040600870064000090000000006007090000008074980016005005030080 768251349453679812219843657871964523394125768526387491632598174987416235145732986 750d9376
3 0 1 000807000005040000000050046718005930000000000650709200000004063980600052400003807 346897521125346789897152346718265934239418675654739218572984163983671452461523897 9aeaac95
3 0 1 020007000004300000096008340037060510002100008010059020000030007050700009400000150 325647891184395276796218345937862514542173968618459723269531487851724639473986152 cee41d9f
3 0 1 000004702071050000008027050300500200400000008005400931030900600000780409002000080 563894712271356894948127356389561247417239568625478931834912675156783429792645183 a92a44c2
3 0 1 106000009000200100093401050034910000800000002071800900048573000000100500010600740 126357489485269137793481256634912875859746312271835964948573621367124598512698743 f4eb81ad
3 0 1 000094100506000470001275000020041980000000000000000054080700021207058090605009740 872694135596813472341275869723541986458962317169387254984736521217458693635129748 303629ee
3 0 1 008300050000000293000000040800907020340020001970603500001739860500002009090050400 268394157754186293139275648815947326346528971972613584421739865583462719697851432 da9c5309
3 0 1 019050067802300100003000020680003002040096000000000078300049080000000005158000406 419258367872364159563917824685173942247896513931425678326549781794681235158732496 42c4d5af
3 0 1 007965028000000000000042500080000030040123900092006000000004210020058003569000004 437965128256817349918342567681579432745123986392486751873694215124758693569231874 19f2f12b
3 0 1 600800050000400689008205130005070840000300090040006072402031000030904000900000000 614893257253417689798265134325179846867342591149586372482731965536924718971658423 f4ba6bc4
3 0 1 024000008000800490000410000030206004201300065005701900082007500307502000000000010 124679358763825491598413726839256174271394865645781932982167543317542689456938217 8f6b29a5
3 0 1 051000230030800901000150000070020000504019670690005000000200007006007015000540060 851794236437862951962153784173628549524319678698475123315286497246937815789541362 20afe10
